base,spot_price,perp_price,openInterest,market_cap,fdv
AVAX,18.42,18.37,6110581.0,7861517196,8475637825
FLM,0.0246,0.0242,150111957.0,13724588,13724588
UTK,0.01815,,,44627,44627
XVS,4.59,4.568,302798.7,76655253,136143026
AAVE,228.14,227.05,352322.2,3477896558,3646158117
NEAR,2.129,2.12,29609373.0,2723571719,2723572300
FIL,1.538,1.536,21834519.6,1083666779,3012290670
INJ,7.66,7.628,2692312.8,749280503,766706042
AUDIO,0.0391,,,53492496,53492496
CTK,0.2917,0.2901,3966271.0,43492224,44244435
AXS,1.417,1.408,3738675.0,236481372,382586741
STRAX,0.03055,,,61760780,64050370
ROSE,0.0153,0.01517,197717254.0,114337462,152830380
AVA,0.3757,0.3725,2610064.8,26202451,26202451
SKL,0.01805,0.01802,227264168.0,109148740,109692248
GRT,0.06181,0.06147,92197495.0,652427843,667033933
JUV,0.839,,,10259992,16707204
PSG,1.153,,,13719579,22951287
1INCH,0.1642,0.1633,24273483.0,229677492,246207483
OG,11.272,11.253,454924.8,49390801,56318083
ATM,1.065,,,7828404,10651459
ASR,1.71,1.678,1790778.7,13625950,17068457
CELO,0.242,0.24,17987491.3,141808655,241668080
RIF,0.0459,0.04577,29945276.0,45754871,45754871
TRU,0.0183,0.01817,81525741.0,24274888,24546060
CKB,0.003211,0.003193,893140421.0,152763049,155190756
TWT,1.2672,1.2635,5623076.0,527423914,1265868333
SFP,0.3513,0.3515,11059807.0,175545822,175545822
DODO,0.0297,,,29650049,29650049
CAKE,2.439,2.4332,7285660.0,832149424,867832965
ACM,0.633,,,6866692,12583835
FIS,0.0673,0.06689,33210910.0,10394093,10394093
OM,0.1052,0.1041,175848854.0,115509679,179982315
POND,0.00547,,,44803440,54622393
DEGO,0.879,0.8711,5010518.9,18370680,18370680
ALICE,0.2812,0.281,9438443.0,25919920,28148329
PERP,0.1877,0.1869,8330095.2,13631116,28159637
SUPER,0.3686,0.3668,9247289.0,234766345,368454813
CFX,0.102,0.10174,102012324.0,525778048,584269531
TKO,0.1207,,,9019616,60130770
PUNDIX,0.2997,0.2985,6550402.0,77470073,77470073
TLM,0.00313,0.003116,299186928.0,19170877,21414105
BAR,0.704,,,11379454,28051432
FORTH,2.281,2.27,468763.8,26252099,34911139
SLP,0.001076,0.001068,664499044.0,38826993,38826993
SHIB,1.005e-05,,,5925722417,5928290690
ICP,3.04,3.034,5017995.0,1641205108,1641205152
AR,3.6,3.575,1675966.7,235361342,235361342
MASK,0.823,0.8198,3966522.0,82288610,82288610
LPT,4.766,4.739,1108222.7,219504709,219504709
XVG,0.006256,0.006226,455975287.0,103573067,103780244
ATA,0.0262,0.026,64488568.0,15374099,26155677
GTC,0.183,0.181,13410873.6,17546307,18204447
PHA,0.0557,0.05536,21818145.0,45321446,55517873
MLN,6.61,6.598,419848.56,19738125,19738125
DEXE,7.095,7.097,649456.47,407406597,688511586
C98,0.0345,0.0344,58994817.0,34522087,34522124
QNT,79.59,79.36,65355.4,1157004030,1162438704
FLOW,0.262,0.26,15935344.2,422589848,422589848
MINA,0.0977,0.0971,29430792.0,122895996,122895996
RAY,1.664,,,446089548,922927970
FARM,21.62,,,14495111,14888368
QUICK,0.01789,0.01785,41918187.0,13123253,18252374
MBOX,0.0461,0.04609,20146728.0,23079472,25385931
REQ,0.1223,,,90966544,122147791
GHST,0.306,0.305,4141758.0,15585460,16070038
WAXP,0.0121,0.01207,105713648.0,42377490,45596876
GNO,129.87,,,343648627,390570609
XEC,1.488e-05,,,296217664,296217989
DYDX,0.2949,0.292,29975877.3,234794272,282121302
IDEX,0.01956,,,19169679,19520909
USDP,1.0002,,,55689725,55689725
GALA,0.01008,0.01003,1037994741.0,467957944,467957944
ILV,10.56,10.516,138142.4,100093410,101302610
YGG,0.1194,0.1191,41378225.0,80926935,119374536
SYS,0.02758,0.02749,38216900.0,23240610,23240681
DF,0.01768,0.01761,64676244.0,17641453,17641453
FIDA,0.0558,0.05555,22203252.0,55243181,55749881
AGLD,0.38,0.3783,5436668.0,33134905,35181907
RAD,0.46,,,22886312,45928949
RARE,0.0338,0.0337,49614646.0,27678618,33772804
LAZIO,0.877,,,10628825,35070186
CHESS,0.04221,0.04204,37179011.0,8672586,12648937
ADX,0.1305,,,23730581,23902013
AUCTION,6.64,6.638,679995.72,46992819,50642237
MOVR,3.255,3.244,510895.52,32963074,39526465
CITY,0.694,,,8237760,13706333
ENS,14.87,14.819,622569.0,492982638,1486428287
QI,0.00496,,,35626088,35626088
PORTO,0.97,,,10978797,38766233
POWR,0.1092,0.109,9052285.0,57804631,109060476
JASMY,0.0101,0.010062,304397180.0,488950693,504905714
AMP,0.002506,,,210771337,249401351
PYR,0.604,,,14431052,30193391
ALCX,7.11,,,17809199,21996958
SANTOS,1.399,1.401,1024534.4,18707530,41898619
BICO,0.0591,0.05885,25564961.0,58511222,58951230
FLUX,0.1098,0.1092,9640558.0,43186710,43278598
FXS,1.277,1.2728,1874337.8,,
VOXEL,0.0381,0.03803,62904530.0,9277490,11441332
HIGH,0.293,0.2915,4596634.9,0.0,32892
CVX,2.223,2.212,636329.7,182300554,222190812
PEOPLE,0.01126,0.01118,424860985.0,56919531,56919531
SPELL,0.0003217,0.0003205,5044969850.0,54733765,63004295
JOE,0.1112,0.11051,11679857.0,44308261,55494358
ACH,0.0121,0.012051,200437530.0,59758236,120877773
IMX,0.499,0.4971,18733466.0,980905533,998653956
GLMR,0.0361,,,36879670,43298326
SCRT,0.1527,0.1514,7778759.0,49162485,51445538
API3,0.6757,0.6742,9044222.8,89120655,104155254
BTTC,4.8e-07,,,,
ACA,0.0172,,,20121885,27595728
XNO,0.651,,,86815893,86815893
WOO,0.0377,0.03761,47858167.0,71878510,83197524
ALPINE,0.74,0.7408,3041401.3,8407751,29604757
T,0.01242,0.01239,110853446.0,134007674,138617217
ASTR,0.01642,0.016358,153772816.0,134597319,140170419
GMT,0.02468,0.02456,139519616.0,76698615,125074648
KDA,0.0481,0.04728,89680526.0,16066204,16163375
APE,0.3985,0.3955,20177498.0,361814266,398182341
BIFI,134.6,,,10733949,10733949
STEEM,0.0844,0.08411,12846981.0,44712154,44723566
NEXO,1.101,,,1098914762,1098914762
REI,0.01017,0.01018,125462509.0,32056662,32056662
LDO,0.8798,0.8762,22869471.0,787893014,879571840
OP,0.4022,0.4006,58019374.7,762303830,1726310367
STG,0.1406,0.14,15374988.0,136524037,140534219
LUNC,4.358e-05,,,239061654,282284569
GMX,9.77,9.727,213864.78,101059461,101059461
POLYX,0.0816,0.08129,12826625.0,99013070,99013070
APT,3.29,3.276,21834128.6,2364265954,3885266102
OSMO,0.1121,,,83901371,111260896
HFT,0.0449,0.04479,35530607.0,27873831,44927232
PHB,0.429,0.4252,7596034.0,25535387,25535387
HOOK,0.0592,0.05886,25243563.3,17949549,29587169
MAGIC,0.1361,0.135,29112408.1,43022709,47252060
RPL,3.27,3.255,306910.0,71289266,71289266
GNS,1.5,,,41445241,41445241
SYN,0.0752,0.07553,19108872.0,16503098,18833431
SSV,4.785,4.764,530003.58,33873282,68749775
LQTY,0.588,0.591,4411155.0,57650218,58887798
USTC,0.00788,0.007851,211177939.0,44007723,47959990
GAS,2.531,2.526,588643.9,164565604,164565604
GLM,0.1868,0.18642,12632077.0,186727655,186727655
PROM,10.692,10.641,838274.6,194657446,205323608
QKC,0.00513,,,36795275,51276290
ID,0.1046,0.10422,18792084.0,45005261,208727062
ARB,0.2999,0.2987,119540449.1,1650646555,2995896289
RDNT,0.01502,0.01496,128563587.0,19391131,22511635
WBTC,110260.18,,,13981625267,13981625267
EDU,0.1781,0.1776,27476432.0,106654055,177954386
SUI,2.3823,2.3735,57387739.8,8631079709,23804996295
PEPE,6.62e-06,,,2783400457,2783400457
FLOKI,7.027e-05,,,678918552,702927352
MAV,0.03263,0.03244,49832504.0,24550340,65120688
PENDLE,3.116,3.0995,5700524.0,525634412,876821218
ARKM,0.33,0.3292,16490569.0,169967993,330481650
WBETH,4174.25,,,13637935288,13637935288
WLD,0.813,0.8113,56292157.0,1846484106,8132521883
FDUSD,1.0005,,,1027085846,1027085846
SEI,0.1922,0.1911,141267860.0,1199397283,1919376875
CYBER,0.971,0.965,2891139.0,48164266,97104656
ARK,0.3129,0.3122,4421293.0,397398401,397398401
IQ,0.002301,,,53899764,53899764
NTRN,0.0438,0.04365,27108338.0,27013074,43735018
TIA,0.911,0.9084,33346623.0,758742680,1048423220
MEME,0.001556,0.001548,3444367251.0,91223650,107153713
ORDI,4.73,4.704,1899228.7,99158946,99158946
BEAMX,0.005027,0.004995,961214503.0,,
PIVX,0.251,,,24496955,24496955
VIC,0.1321,0.132,9343497.0,16307228,27814626
BLUR,0.04674,0.04656,57457284.0,120639559,140205387
VANRY,0.0143,0.0143,95273711.0,28021738,29226699
AEUR,1.1868,,,0.0,
JTO,0.927,0.9218,8898323.0,366079602,925859914
1000SATS,2.241e-05,2.24e-05,181803873830.0,0.0,47054910
BONK,1.417e-05,,,1098114709,1248120003
ACE,0.277,0.2761,5081329.61,21637565,40558273
NFP,0.039,0.03896,40041307.6,19652028,38995237
AI,0.0743,0.07406,23877735.0,9643534,74181034
XAI,0.0238,0.02376,86932320.0,43498534,48307586
MANTA,0.1002,0.0998,18140776.0,45861097,100253360
ALT,0.01654,0.01645,244057623.0,77910205,165119869
JUP,0.4087,0.4081,63542386.0,1314199141,2857714299
PYTH,0.1078,0.10771,75910456.0,619701438,1077744814
RONIN,0.3304,0.3285,4195486.0,,
DYM,0.0897,0.0894,20329586.8,35409673,89687296
PIXEL,0.01508,0.01502,87585987.0,11628256,75406143
STRK,0.1055,0.1051,112010616.1,480877851,1054551911
PORTAL,0.0245,0.02449,73007769.1,14510152,24542874
AXL,0.1682,0.1676,17191868.8,178854612,205532074
WIF,0.52,0.5182,61438343.2,519421487,519421487
METIS,9.1,9.03,244000.54,60859351,90877791
AEVO,0.0588,0.05848,44137801.1,53820155,58790865
BOME,0.000996,0.00099,4385649498.0,68538730,68538730
ETHFI,1.004,1.0012,26279358.0,565588192,1001150784
ENA,0.3922,0.3894,459786904.0,2803226649,5875758915
W,0.0654,0.065,142096689.0,319158251,652931399
TNSR,0.0539,0.05374,32297533.0,18007651,53817277
SAGA,0.095,0.0943,26352947.3,30230508,102583497
TAO,514.7,519.06,226595.181,4959935384,10852695049
REZ,0.00846,0.00846,370023476.0,38447581,84659847
BB,0.104,0.10332,44199672.0,42542580,218167078
NOT,0.00078,0.0007743,4538412274.0,77428152,79782377
IO,0.301,0.3001,15631815.0,70457838,241098918
ZK,0.02954,0.02938,179308371.0,213406906,619702401
LISTA,0.2668,0.2661,22265045.0,66719837,212081394
ZRO,1.571,1.5678,7140833.4,174677124,1571503725
G,0.00678,0.006769,168032288.0,49022246,81334349
BANANA,12.11,12.06,156592.6,48661666,102412156
RENDER,2.246,2.239,4270998.9,1164811142,1197964486
TON,2.311,2.3071,14154572.3,5817258480,11870488834
DOGS,5.27e-05,5.27e-05,47687575451.0,27266836,29021306
EURI,1.1543,,,0.0,
POL,0.186,0.18546,95124278.0,1957620543,1957620543
NEIRO,0.0001814,0.0001809,34403699521.0,76319826,76319826
TURBO,0.002199,0.0021957,1537422018.0,151778440,151778440
1MBABYDOGE,0.0009791,0.0009776,2483429925.0,0.0,411047970959197
CATI,0.0774,0.07687,58485920.0,15886648,77119653
HMSTR,0.000389,0.0003882,3369345604.0,25027047,38876966
EIGEN,0.92,0.9156,28361136.5,399089539,1619218125
SCR,0.146,0.1447,17999216.0,27600036,145263347
BNSOL,202.4,,,1650173958,1650173958
LUMIA,0.156,0.1536,10110245.5,11733941,37222497
KAIA,0.1037,0.1035,31190638.0,606926855,606926875
COW,0.2188,0.2183,12109858.0,114648235,218796691
CETUS,0.0469,0.04662,31441454.0,40288066,46897960
PNUT,0.1264,0.12688,72647018.0,126448875,126448875
ACT,0.0208,0.02093,86364566.0,54970885,71717208
USUAL,0.0296,0.02951,97889074.0,31006193,43963685
THE,0.2205,0.2195,9545123.7,25972187,59043484
ACX,0.0653,0.0649,29218561.7,41882568,65499276
ORCA,1.493,1.48,1247260.7,89383055,111436291
MOVE,0.0683,0.06819,81485918.0,191044305,682301088
ME,0.444,0.4421,13786150.8,74223576,444090043
VELODROME,0.0397,0.03922,53461548.0,,
VANA,3.018,3.013,1561615.75,92943295,362116733
1000CAT,0.00509,0.005064,219741286.0,0.0,
PENGU,0.018489,0.018387,1775296094.0,1161008613,1473329503
BIO,0.0844,0.0837,232842728.0,149393875,280259245
D,0.02038,0.02032,52944201.0,13107188,16304691
AIXBT,0.0815,0.08201,101790820.0,81679791,82118433
CGPT,0.0523,0.05219,19338748.0,45372524,52270171
COOKIE,0.088,0.0885,30575271.0,55296255,88655866
S,0.1402,0.1398,77042294.0,530364745,544479003
SOLV,0.01975,0.01963,499366907.0,29249481,165719439
TRUMP,8.403,8.361,12591132.88,1682794032,8413971293
ANIME,0.00858,0.00856,183621435.0,47534103,85823247
BERA,1.83,1.826,12745350.6,237727952,937391452
1000CHEEMS,0.001374,0.0013711,9758119835.0,0.0,301907055702
TST,0.01806,0.01799,263618421.0,17051410,17051410
LAYER,0.2621,0.2611,11569578.9,54980130,261810144
HEI,0.2355,0.2349,13125296.3,18780200,23531816
KAITO,1.0705,1.0683,10996705.9,259797966,1076263150
SHELL,0.1149,0.1156,29375204.0,31164341,115423484
RED,0.3213,0.3207,7456288.0,90277172,322418472
GPS,0.00738,0.007372,212991263.0,23325390,73931506
EPIC,0.819,0.8144,1920269.0,24564993,24564993
BMT,0.0392,0.03902,34342932.0,10027199,39141087
FORM,0.5402,0.5372,29061769.0,206305845,309189201
XUSD,1.0002,,,285312315,285312315
NIL,0.2287,0.2295,26210635.7,62116471,229121675
PARTI,0.0661,0.06576,39767923.0,15389942,66051255
MUBARAK,0.02027,0.0202,129089461.0,20266521,20266521
TUT,0.01956,0.01951,180121844.0,16363387,16363387
BROCCOLI714,0.01963,0.01951,172962891.0,19030922,19030922
BANANAS31,0.002923,0.002915,605178233.0,29203841,29203841
GUN,0.01632,0.01624,85512121.0,19694609,163169914
BABY,0.02735,0.02725,88232446.0,78109294,286303837
ONDO,0.6909,0.6894,41335814.4,2183024073,6910255675
BIGTIME,0.03108,0.03098,78896213.0,59325739,155445809
VIRTUAL,1.7718,1.7761,32369773.9,1166717818,1778343113
KERNEL,0.1298,0.1287,32319200.0,30712299,129719520
WCT,0.1439,0.1436,18823782.0,26806404,143965530
HYPER,0.182,0.1807,10900633.0,37366614,146162133
INIT,0.1377,0.1367,19500706.0,23871412,137843597
SIGN,0.03682,0.03667,80967754.0,49676410,367973406
STO,0.175,0.17477,33860107.0,39494045,175269432
SYRUP,0.4508,0.45176,20137591.0,504335274,548795107
KMNO,0.06362,0.06368,56909110.0,199916781,637426045
SXT,0.0519,0.05149,29778708.0,0.0,258853177
NXPC,0.3549,0.3531,6630306.0,77520386,354583155
AWE,0.06888,0.06861,40123816.0,133563216,133563216
HAEDAL,0.0845,0.08396,18353143.0,16460622,84413447
USD1,0.9996,,,2982707922,2982707922
HUMA,0.02417,0.024212,179927683.0,41853678,241463529
A,0.2678,0.267,22271221.0,428626891,562327603
SOPH,0.02431,0.024277,220841281.0,48651791,243258953
RESOLV,0.0513,0.05114,45308953.0,16661067,51293203
HOME,0.02198,0.021971,248300129.0,60889891,219979623
SPK,0.035724,0.03562,147808139.0,67694563,357213309
NEWT,0.1356,0.1345,16370197.0,29126467,135471940
SAHARA,0.07538,0.07536,450775074.0,179012778,753077417
LA,0.3588,0.3591,15393789.2,69355822,359356591
ERA,0.2767,0.2773,12284034.0,48312624,276467089
C,0.1083,0.10767,20248896.0,17351486,108446790
TREE,0.1679,0.1676,15916438.0,28577146,32705546
A2Z,0.003944,0.003959,1053749098.0,24146249,36130304
TOWNS,0.01067,0.01067,157068334.0,22503316,108052102
PROVE,0.6877,0.682,8625872.4,134525293,689873297
BFUSD,0.9999,,,1319221852,1319221852
PLUME,0.06104,0.06108,143343297.0,191562812,610887134
DOLO,0.0846,0.0844,35730831.0,35181832,84573646
MITO,0.09879,0.09833,18606814.0,22443844,145012140
WLFI,0.1406,0.1395,631004051.0,3825989744,14038232953
SOMI,0.4047,0.4028,12026657.0,64782491,404385089
OPEN,0.3524,0.3511,17993496.0,75977467,352563652
USDE,0.9992,,,9354408084,9354408084
LINEA,0.01272,0.0127,1045566999.0,196967249,916126742
HOLO,0.1286,0.1281,19747763.0,44688658,263467573
PUMP,0.004609,0.00457,29489354241.0,1632350017,4611109150
AVNT,0.6981,0.6951,34152139.0,179887776,696683437
ZKC,0.2222,0.2214,23101789.0,44664546,222281280
SKY,0.05644,0.05624,78885543.0,1318519124,1325191485
BARD,0.6694,0.67,36857416.0,150662577,669611451
0G,1.104,1.0979,11141614.0,235248041,1103416263
HEMI,0.0419,0.04172,183695703.0,40990410,419339234
XPL,0.298,0.2977,318517685.0,563082902,2981027127
MIRA,0.2603,0.2587,15860265.0,55696440,260238503
FF,0.13359,0.13366,182301053.0,311972402,1333215394
EDEN,0.132,0.1311,46685588.0,24267329,131980905
NOM,0.01842,0.01829,100027273.0,53353698,130481883
2Z,0.18065,0.18041,34355970.0,626898504,1805886224
MORPHO,1.992,1.9909,3591119.7,1045759592,1994785404
ASTER,1.014,1.0041,144322477.0,2043804563,8103502255
WAL,0.2233,0.2217,34269484.0,330056385,1115840717
EUL,8.816,8.656,559707.7,164530447,239351043
ENSO,1.383,1.372,5575493.8,28435275,138102358
YB,0.5626,0.5587,21624568.0,49312559,394404937
ZBT,0.1981,0.1988,44763066.0,43488820,198089799
TURTLE,0.1224,0.1213,52249104.0,18921648,122311884
GIGGLE,104.24,102.18,445510.85,103041629,103041629
F,0.01475,0.014607,449913449.0,39826229,146877611
XMR,,334.81,43972.28,6163879002,6163879002
1000SHIB,,0.010037,2949810828.0,,
BTCDOM,,4332.5,4091.342,,
1000XEC,,0.0148,67430576.0,,
1000LUNC,,0.04339,74412748.0,,
LUNA2,,0.0932,18767224.0,,
1000PEPE,,0.0066011,15099678641.0,,
1000FLOKI,,0.07009,152844733.0,,
DODOX,,0.029199,26107522.0,,
BSV,,22.12,101115.1,445072690,445072690
TOKEN,,0.007504,197893986.0,22288128,74843651
KAS,,0.05279,62976603.0,1410896339,1415797079
1000BONK,,0.014145,1738367524.0,0.0,1326621001938
ETHW,,0.8964,1102749.0,96560364,96560364
1000RATS,,0.03393,189774720.0,,
ZETA,,0.1141,16221269.0,127906053,239667816
MYRO,,0.01769,90490121.0,,
MEW,,0.001767,1785768978.0,156966733,156966733
BRETT,,0.02756,77681946.0,273286167,273286167
POPCAT,,0.1428,53673412.0,139645091,139645091
GOAT,,0.05321,53179928.0,52980377,52980377
MOODENG,,0.10554,64452362.0,104401010,104401010
SAFE,,0.2285,6990762.0,150996616,228598489
PONKE,,0.05772,15199272.0,31980167,31983741
1000000MOG,,0.4103,3352593.3,,
GRASS,,0.3396,7408088.7,150690803,338024246
DRIFT,,0.4037,5731500.0,154297708,403236673
SWELL,,0.005657,198546706.0,15236245,56479258
HIPPO,,0.001879,3133470822.0,18648868,18648868
1000X,,0.0334,24763002.0,3820106,3820106
DEGEN,,0.001902,404731528.0,70259587,70259587
BAN,,0.07038,69586084.0,69914968,69914968
AKT,,0.743,4169935.8,208503001,208667459
1000WHY,,2.43e-05,63949547118.0,,
CHILLGUY,,0.02672,54053431.0,26651967,26651967
AERO,,1.0637,10097320.6,959474034,1887853512
RAYSOL,,1.6595,2276562.2,,
KOMA,,0.01823,133437394.0,11023737,11023737
SPX,,0.8598,12332835.0,795081698,795081698
MOCA,,0.05491,116814233.0,216573846,487035331
FARTCOIN,,0.3233,124945048.3,322435198,322435198
GRIFFAIN,,0.02086,101749694.0,20819451,20819451
AI16Z,,0.08179,90356001.3,88820558,88820558
ZEREBRO,,0.04571,559779702.0,45504767,45504767
ALCH,,0.07467,252960154.0,62734630,73802100
SWARMS,,0.01662,305070821.0,16413765,16413765
SONIC,,0.1285,26417366.5,46175217,307834782
ARC,,0.01829,397884319.0,18168997,18168997
AVAAI,,0.01546,219005922.0,,
MELANIA,,0.1206,46958869.55,97268326,120084441
VINE,,0.04366,63184745.0,43694763,43694763
PIPPIN,,0.04028,544564819.0,40426171,40426171
VVV,,1.552,874745.24,62816898,118318138
B3,,0.002214,1193230514.0,66792255,220454067
IP,,4.362,5348764.2,1406626098,4435381488
BID,,0.06125,21206560.0,16576958,61369884
BROCCOLIF3B,,0.012683,397612074.0,12734250,12734250
SIREN,,0.08748,13171603.0,63830168,63830168
BR,,0.07798,11294101.0,17072819,77603721
JELLYJELLY,,0.09212,862878582.0,93786975,93786975
MAVIA,,0.10533,26519273.0,5447864,26384875
ATH,,0.02815,699688984.0,403598222,1190828576
PROMPT,,0.07903,18223551.0,17700245,79054137
XCN,,0.00809,134053832.0,291618414,392225214
FHE,,0.03512,41253836.0,8638375,34692269
AERGO,,0.07283,20259255.0,34271437,36266071
BANK,,0.09368,73043183.0,39877112,39877112
EPT,,0.003725,618336436.0,8651100,37344221
DEEP,,0.07571,24272367.0,189540472,758161888
AIOT,,0.5015,2609366.0,56440233,501616650
B2,,1.141,7400217.0,47376259,239470571
MILK,,0.03233,29108944.0,8387949,38713611
OBOL,,0.08732,20807646.0,11122150,43674509
DOOD,,0.008378,792364725.0,65337192,83765630
ZKJ,,0.06372,25848668.5,24581946,63679215
SKYAI,,0.02046,108628616.0,20456075,20456075
AGT,,0.004409,1008379141.0,0.0,21822988
B,,0.195,38056527.0,194728410,194728410
SOON,,0.7105,25940147.0,198779556,698176472
MERL,,0.32325,92263909.0,339445076,677613974
HYPE,,44.076,4516912.7,11905699854,43962056571
BDXN,,0.02934,80945167.0,4680194,29251214
PUFFER,,0.09578,15512576.0,28917012,95864266
PORT3,,0.05746,526415134.0,27840827,55698674
1000000BOB,,0.03014,20130704.0,,
SKATE,,0.0331,64672574.0,7030848,32821615
TAIKO,,0.2434,2501890.0,45446011,243139574
SQD,,0.09609,21409025.0,83265388,128134067
PUMPBTC,,0.0478,40137760.0,86784189,86784189
MYX,,2.076,4063744.0,396466921,2078257195
DMC,,0.002319,444730660.0,9679875,29579980
H,,0.27934,155733414.0,509042240,2789272545
